Consum(kWh),Duration_hours,Site,CP ID,Connector Type,Connector,Start_hour,End_hour,Day_of_week,is_weekend,season
5230.307,320.3397222,"Princes Street Charging Hub, Dundee",51421,rapid,DD4 6BY,9,9,1,0,3
4376.988,231.5477778,"Lochee Charging Hub, Aimer Square, Dundee",61616,rapid,DD2 3BH,8,10,2,0,3
4983.544,123.9686111,"Princes Street Charging Hub, Dundee",51426,rapid,DD4 6BY,9,16,3,0,3
5544.064,151.4166667,Clepington Road - 4th Hub,61611,rapid,DD3 8PL,10,15,4,0,3
6405.518,95.85249999,Clepington Road - 4th Hub,61611,rapid,DD3 8PL,10,10,5,1,3
5503.56,141.4386111,Clepington Road - 4th Hub,61615,rapid,DD3 8PL,1,12,6,1,3
5494.074,256.1002778,"Lochee Charging Hub, Aimer Square, Dundee",51421,rapid,DD2 3BH,13,9,0,0,3
5685.926,424.7133333,"Princes Street Charging Hub, Dundee",61615,rapid,DD4 6BY,11,9,1,0,3
4994.751,403.8733333,"Princes Street Charging Hub, Dundee",61614,rapid,DD4 6BY,14,11,2,0,3
5320.206,492.5388889,"Princes Street Charging Hub, Dundee",61615,rapid,DD4 6BY,17,16,3,0,3
7736.559,589.6002778,"Lochee Charging Hub, Aimer Square, Dundee",61615,rapid,DD2 3BH,13,13,4,0,3
5796.372,410.2158333,"Princes Street Charging Hub, Dundee",APT51423,rapid,DD4 6BY,12,12,5,1,3
6345.715,509.7930556,"Princes Street Charging Hub, Dundee",APT51423,rapid,DD4 6BY,12,12,6,1,3
4679.727,293.3547222,"Princes Street Charging Hub, Dundee",APT51423,rapid,DD4 6BY,20,19,1,0,3
4373.332,413.7716667,"Lochee Charging Hub, Aimer Square, Dundee",61615,rapid,DD2 3BH,11,11,2,0,3
4302.417,327.9105555,"Princes Street Charging Hub, Dundee",51421,rapid,DD4 6BY,15,11,3,0,3
3343.442,138.4927778,"Princes Street Charging Hub, Dundee",61611,rapid,DD4 6BY,13,15,4,0,3
4675.64,343.3422222,Clepington Road - 4th Hub,61611,rapid,DD3 8PL,11,12,6,1,3
5097.214,436.9141667,Clepington Road - 4th Hub,61615,rapid,DD3 8PL,9,15,0,0,3
7224.718,460.8933333,Clepington Road - 4th Hub,61611,rapid,DD3 8PL,12,16,1,0,3
5339.102,557.4491667,Clepington Road - 4th Hub,61611,rapid,DD3 8PL,13,14,2,0,3
5966.499,476.8472222,Clepington Road - 4th Hub,61611,rapid,DD3 8PL,15,15,3,0,3
5712.233,333.4025,"Princes Street Charging Hub, Dundee",APT51594,rapid,DD4 6BY,14,10,4,0,3
6203.133,390.9863889,"Princes Street Charging Hub, Dundee",61611,rapid,DD4 6BY,20,21,5,1,3
5115.677,335.8186111,"Princes Street Charging Hub, Dundee",61615,rapid,DD4 6BY,14,18,6,1,3
6990.827,465.9305556,Clepington Road - 4th Hub,61611,rapid,DD3 8PL,12,13,0,0,3
6505.624,612.2513889,Clepington Road - 4th Hub,61611,rapid,DD3 8PL,15,12,1,0,3
6677.802,522.9455555,Clepington Road - 4th Hub,61615,rapid,DD3 8PL,13,15,2,0,3
6586.795,568.8513889,Clepington Road - 4th Hub,61611,rapid,DD3 8PL,18,12,3,0,3
7049.441,519.6558334,"Princes Street Charging Hub, Dundee",61611,rapid,DD4 6BY,12,14,4,0,3
7236.134,377.0002778,Clepington Road - 4th Hub,61615,rapid,DD3 8PL,12,12,5,1,3
4970.223,350.7469444,Clepington Road - 4th Hub,61611,rapid,DD3 8PL,13,14,6,1,3
5928.282,406.5213889,Clepington Road - 4th Hub,61611,rapid,DD3 8PL,17,15,0,0,3
5847.126,541.2536111,Clepington Road - 4th Hub,61615,rapid,DD3 8PL,13,14,1,0,3
5351.658,434.1880556,Clepington Road - 4th Hub,51429,rapid,DD3 8PL,14,14,2,0,3
6337.145,476.6588889,"Princes Street Charging Hub, Dundee",51429,rapid,DD4 6BY,10,15,3,0,3
6019.161,477.0172222,"Princes Street Charging Hub, Dundee",61611,rapid,DD4 6BY,9,14,4,0,3
5646.93,376.4647222,Clepington Road - 4th Hub,61611,rapid,DD3 8PL,20,12,5,1,3
7265.671,568.6261111,"Princes Street Charging Hub, Dundee",APT51423,rapid,DD4 6BY,11,10,6,1,0
6797.516,495.5202778,"Lochee Charging Hub, Aimer Square, Dundee",61615,rapid,DD2 3BH,9,15,0,0,0
6031.457,567.2427778,Clepington Road - 4th Hub,61613,rapid,DD3 8PL,14,15,1,0,0
4398.021,419.1680555,"Lochee Charging Hub, Aimer Square, Dundee",APT51423,rapid,DD2 3BH,13,13,2,0,0
4321.538,304.8619445,"Princes Street Charging Hub, Dundee",APT51423,rapid,DD4 6BY,12,11,3,0,0
4098.298,400.6330555,"Princes Street Charging Hub, Dundee",60682,rapid,DD4 6BY,13,15,4,0,0
4237.474,335.4097222,"Princes Street Charging Hub, Dundee",61615,rapid,DD4 6BY,12,13,5,1,0
