Total kWh,Total_time_hours,CP ID,Connector,Site,Model,Start_hour,End_hour,Day_of_week,is_weekend,season
495.748,40.73333334,50286,2,Broxden Park & Ride,APT Triple Rapid Charger,11,15,5,1,3
258.147,40.93333333,50286,2,Broxden Park & Ride,APT Triple Rapid Charger,10,17,6,1,3
255.902,26.41666667,50286,2,Broxden Park & Ride,APT Triple Rapid Charger,9,13,0,0,3
394.632,44.53333334,50745,2,Kinross Park and Ride,APT Triple Rapid Charger,8,11,1,0,3
410.127,43.11666667,50286,2,Broxden Park & Ride,APT Triple Rapid Charger,19,19,2,0,3
264.869,36.38333333,50245,2,Broxden Park & Ride,APT Triple Rapid Charger,11,11,4,0,0
306.923,31.75,50745,1,Kinross Park and Ride,APT Triple Rapid Charger,16,16,5,1,0
340.306,35.86666667,50245,2,Broxden Park & Ride,APT Triple Rapid Charger,10,9,6,1,0
389.976,50.33333334,50277,2,South Inch Car Park,APT Triple Rapid Charger,14,14,0,0,0
425.167,57.95000001,50245,1,Broxden Park & Ride,APT Triple Rapid Charger,8,14,1,0,0
283.248,47.18333333,50286,2,Broxden Park & Ride,APT Triple Rapid Charger,19,17,2,0,0
209,29.3,50286,2,Broxden Park & Ride,APT Triple Rapid Charger,12,16,3,0,0
262.787,29.06666667,50745,2,Kinross Park and Ride,APT Triple Rapid Charger,7,10,4,0,0
259.062,28.93333333,50286,2,Kinross Park and Ride,APT Triple Rapid Charger,14,1,5,1,0
213.27,17.61666666,50994,2," Leslie Street Car Park, Blairgowrie",APT Triple Rapid Charger,12,13,6,1,0
254.774,44.85,50745,2,Kinross Park and Ride,APT Triple Rapid Charger,10,10,0,0,0
320.436,35.76666667,50286,2,Broxden Park & Ride,APT Triple Rapid Charger,15,16,1,0,0
323.777,45.86666667,50575,2,Broxden Park & Ride,APT Triple Rapid Charger,13,14,2,0,0
434.568,41.83333333,50286,2,Broxden Park & Ride,APT Triple Rapid Charger,13,15,3,0,0
183.559,31.23333333,50994,2,Broxden Park & Ride,APT Triple Rapid Charger,6,18,4,0,0
278.185,29.63333334,50994,2,Kinross Park and Ride,APT Triple Rapid Charger,11,13,5,1,0
59.55,16.43333333,50281,2,Broxden Park & Ride,APT Triple Rapid Charger,0,10,6,1,0
205.697,12.96666667,50245,2,Broxden Park & Ride,APT Triple Rapid Charger,12,13,0,0,0
299.296,21.53333334,50286,2,Broxden Park & Ride,APT Triple Rapid Charger,12,12,1,0,0
286.411,15.23333333,50286,2,Broxden Park & Ride,APT Triple Rapid Charger,14,12,2,0,0
306.777,22.86666667,50745,2,Kinross Park and Ride,APT Triple Rapid Charger,10,11,3,0,0
316.946,29.98333334,50282,2,Broxden Park & Ride,APT Triple Rapid Charger,15,16,4,0,0
139.38,11.03333333,50575,2,Kinross Park and Ride,APT Triple Rapid Charger,10,11,5,1,0
66.99,2.266666667,50286,2,Broxden Park & Ride,APT Triple Rapid Charger,20,20,6,1,0
297.43,32.66666667,50245,2,Broxden Park & Ride,APT Triple Rapid Charger,18,15,0,0,0
383.302,50.68333333,50745,2,Kinross Park and Ride,APT Triple Rapid Charger,18,18,1,0,0
420.852,36.71666667,50745,2,Kinross Park and Ride,APT Triple Rapid Charger,13,13,2,0,0
365.022,31.85,50745,1,Kinross Park and Ride,APT Triple Rapid Charger,17,18,3,0,0
396.199,71.08333333,50282,2,"King Street Car Park, Crieff",APT Triple Rapid Charger,11,11,4,0,0
396.836,33.18333334,50286,2,"Broxden Park & Ride, Perth",APT Triple Rapid Charger,15,11,5,1,0
328.001,43.91666667,50575,2,"Broxden Park & Ride, Perth",APT Triple Rapid Charger,15,13,6,1,0
443.399,58.25,50286,2,"Broxden Park & Ride, Perth",APT Triple Rapid Charger,12,12,0,0,0
341.751,27.33333333,50297,2,"Broxden Park & Ride, Perth",APT Triple Rapid Charger,10,13,1,0,0
527.165,72.28333333,50286,2,"Broxden Park & Ride, Perth",APT Triple Rapid Charger,8,16,2,0,0
626.434,83.45,50297,2,"Broxden Park & Ride, Perth",APT Triple Rapid Charger,13,14,3,0,0
303.068,33.98333333,50286,2,Broxden Park & Ride,APT Triple Rapid Charger,14,15,4,0,0
330.055,30.76666666,50745,2,Broxden Park & Ride,APT Triple Rapid Charger,15,15,5,1,0
258.162,26.2,50245,2,Broxden Park & Ride,APT Triple Rapid Charger,13,13,6,1,0
303.624,53.26666666,50245,2,Broxden Park & Ride,APT Triple Rapid Charger,18,19,0,0,0
261.717,23.91666667,50245,2,Broxden Park & Ride,APT Triple Rapid Charger,18,12,1,0,0
410.307,32.88333333,50245,2,Broxden Park & Ride,APT Triple Rapid Charger,10,16,2,0,0
339.246,22.83333333,50745,2,Kinross Park and Ride,APT Triple Rapid Charger,18,18,3,0,0
352.236,33.78333333,50745,2,Kinross Park and Ride,APT Triple Rapid Charger,8,9,4,0,0
306.387,23.56666667,50245,2,South Inch Car Park,APT Triple Rapid Charger,11,14,5,1,0
303.628,31.2,50245,2,Kinross Park and Ride,APT Triple Rapid Charger,18,13,6,1,0
240.952,32.25,50245,2,Broxden Park & Ride,APT Triple Rapid Charger,18,18,0,0,0
428.362,37.2,50245,2,Broxden Park & Ride,APT Triple Rapid Charger,8,8,1,0,0
448.725,50.75,50245,2,Broxden Park & Ride,APT Triple Rapid Charger,10,10,2,0,0
355.044,35.86666667,50245,2,Broxden Park & Ride,APT Triple Rapid Charger,18,19,3,0,0
450.292,60.8,50245,2,Broxden Park & Ride,APT Triple Rapid Charger,15,17,4,0,0
410.987,41.36666667,50745,2,South Inch Car Park,APT Triple Rapid Charger,11,11,5,1,0
311.514,21.88333333,50745,1,Kinross Park and Ride,APT Triple Rapid Charger,15,15,6,1,0
354.472,43.63333334,50245,2,Broxden Park & Ride,APT Triple Rapid Charger,18,18,0,0,0
283.216,25.86666667,50245,2,Broxden Park & Ride,APT Triple Rapid Charger,18,15,1,0,0
225.545,16.93333333,50745,2,Broxden Park & Ride,APT Triple Rapid Charger,11,16,2,0,0
338.544,27.11666667,50245,2,Broxden Park & Ride,APT Triple Rapid Charger,10,10,3,0,0
268.493,23.78333333,50245,2,Broxden Park & Ride,APT Triple Rapid Charger,17,13,4,0,0
277.288,21.23333333,50745,2,Kinross Park and Ride,APT Triple Rapid Charger,16,20,5,1,0
427.17,77.61666667,50745,2,Kinross Park and Ride,APT Triple Rapid Charger,10,18,6,1,0
517.041,53.16666667,50282,2,"Broxden Park & Ride, Perth",APT Triple Rapid Charger,16,15,0,0,0
345.716,34.63333333,50575,2,"South Inch Car Park, Perth",APT Triple Rapid Charger,15,15,1,0,0
328.423,56.55,51516,2,"Broxden Park & Ride, Perth",APT Triple Rapid Charger,8,12,2,0,0
431.751,40,50282,2,Kinross Park and Ride,APT Triple Rapid Charger,8,13,3,0,0
480.778,60.86666667,50286,2,"Broxden Park & Ride, Perth",APT Triple Rapid Charger,8,15,4,0,0
490.025,81.71666667,50745,2,"Broxden Park & Ride, Perth",APT Triple Rapid Charger,15,17,5,1,0
641.167,64.98333333,51249,2,"Broxden Park & Ride, Perth",APT Triple Rapid Charger,14,16,6,1,0
319.546,20.63333333,50245,2,Broxden Park & Ride,APT Triple Rapid Charger,16,17,0,0,0
291.407,38.28333333,50245,2,Broxden Park & Ride,APT Triple Rapid Charger,14,15,1,0,0
270.061,32.06666667,50245,2,Broxden Park & Ride,APT Triple Rapid Charger,11,11,2,0,0
329.081,34.38333333,50282,2,Broxden Park & Ride,APT Triple Rapid Charger,11,12,3,0,0
292.766,23.95,50245,2,Broxden Park & Ride,APT Triple Rapid Charger,13,13,4,0,0
324.651,34.76666667,50245,2,South Inch Car Park,APT Triple Rapid Charger,12,11,5,1,0
209.057,14.15,50245,2,Broxden Park & Ride,APT Triple Rapid Charger,10,10,6,1,0
212.799,34.05,50245,2,Broxden Park & Ride,APT Triple Rapid Charger,9,17,0,0,0
211.616,26.9,50245,2,South Inch Car Park,APT Triple Rapid Charger,14,14,1,0,0
366.59,33.16666666,50245,2,Broxden Park & Ride,APT Triple Rapid Charger,12,15,2,0,0
292.123,40,50245,2,Kinross Park and Ride,APT Triple Rapid Charger,9,12,3,0,0
352.501,42.16666667,50745,2,Kinross Park and Ride,APT Triple Rapid Charger,9,13,4,0,0
258.63,19.55,50245,2,Broxden Park & Ride,APT Triple Rapid Charger,12,12,5,1,0
359.868,23.5,50993,1," Leslie Street Car Park, Blairgowrie",APT Triple Rapid Charger,13,14,6,1,0
307.054,47.83333333,50245,2,Broxden Park & Ride,APT Triple Rapid Charger,8,19,0,0,0
418.655,38.66666666,50245,2,Kinross Park and Ride,APT Triple Rapid Charger,18,19,1,0,0
226.214,11.65,50286,2,Broxden Park & Ride,APT Triple Rapid Charger,16,16,2,0,1
252.968,35.58333334,50245,2,Broxden Park & Ride,APT Triple Rapid Charger,18,16,3,0,1
273.422,26.51666667,50245,2,Broxden Park & Ride,APT Triple Rapid Charger,14,14,4,0,1
465.322,45.21666667,50745,2,Kinross Park and Ride,APT Triple Rapid Charger,12,13,5,1,1
450.82,53.31666667,50994,2,Broxden Park & Ride,APT Triple Rapid Charger,17,18,6,1,1
383.351,30.78333333,50245,2,"Broxden Park & Ride, Perth",APT Triple Rapid Charger,14,15,0,0,1
553.617,60.33333333,51516,2,Kinross Park and Ride,APT Triple Rapid Charger,12,13,1,0,1
404.932,43.43333333,50745,2,Kinross Park and Ride,APT Triple Rapid Charger,13,14,2,0,1
432.762,43.65,50575,2,"Broxden Park & Ride, Perth",APT Triple Rapid Charger,10,13,3,0,1
690.983,80.26666667,51250,2,"Broxden Park & Ride, Perth",APT Triple Rapid Charger,12,11,4,0,1
573.405,63.08333333,50745,2,"Broxden Park & Ride, Perth",APT Triple Rapid Charger,9,13,5,1,1
432.455,27.45,50994,2,"Rie-Achan Road Car Park, Pitlochry",APT Triple Rapid Charger,12,13,6,1,1
465.536,62.11666667,51250,1,"Crown Inn Wynd Car Park, Auchterarder",APT Triple Rapid Charger,14,15,0,0,1
357.852,56.25,50245,2,Broxden Park & Ride,APT Triple Rapid Charger,17,13,1,0,1
465.375,58.88333333,50745,2,Kinross Park and Ride,APT Triple Rapid Charger,17,17,2,0,1
321.338,41.9,50245,2,Broxden Park & Ride,APT Triple Rapid Charger,12,11,3,0,1
407.987,56.7,50745,2,Kinross Park and Ride,APT Triple Rapid Charger,12,13,4,0,1
430.828,38.55,50245,2,Broxden Park & Ride,APT Triple Rapid Charger,12,11,5,1,1
445.761,25.58333334,50745,2,Broxden Park & Ride,APT Triple Rapid Charger,16,16,6,1,1
405.5,53.88333333,50245,2,Broxden Park & Ride,APT Triple Rapid Charger,18,18,0,0,1
274.854,41.91666667,50745,2,Kinross Park and Ride,APT Triple Rapid Charger,17,17,1,0,1
421.709,49.58333333,50745,2,Canal Street Car Park 3rd floor ,APT Triple Rapid Charger,11,13,2,0,1
369.545,47.18333334,50745,2,Kinross Park and Ride,APT Triple Rapid Charger,18,11,3,0,1
363.95,53.38333334,50245,2,Broxden Park & Ride,APT Triple Rapid Charger,12,13,4,0,1
249.897,32.15,50245,2,Broxden Park & Ride,APT Triple Rapid Charger,11,14,5,1,1
234.188,22.83333333,50282,2,"Rie-Achan Road Car Park, Pitlochry",APT Triple Rapid Charger,16,17,6,1,1
337.01,40.25,51250,1,Kinross Park and Ride,APT Triple Rapid Charger,17,18,0,0,1
263.351,40.91666666,50245,2,Kinross Park and Ride,APT Triple Rapid Charger,18,16,1,0,1
415.766,31.85,50245,2,Broxden Park & Ride,APT Triple Rapid Charger,17,17,2,0,1
276.45,43.55,50993,2,"King Street Car Park, Crieff",APT Triple Rapid Charger,16,18,3,0,1
